id,k,v,type
137362256.0,highway,turning_circle,tag
137362757.0,highway,turning_circle,tag
137363477.0,highway,turning_circle,tag
137363495.0,highway,turning_circle,tag
137364758.0,direction,forward,tag
137364758.0,highway,give_way,tag
137364904.0,highway,turning_circle,tag
137364904.0,source,Bing,tag
137365149.0,highway,turning_circle,tag
137366276.0,highway,turning_circle,tag
137366419.0,highway,turning_circle,tag
137367416.0,highway,turning_circle,tag
137367502.0,highway,turning_circle,tag
137367607.0,highway,turning_circle,tag
137367607.0,source,Bing,tag
137367794.0,highway,turning_circle,tag
137368567.0,highway,turning_circle,tag
137368567.0,source,Yahoo,tag
137369138.0,highway,turning_circle,tag
137369377.0,highway,turning_circle,tag
137369700.0,highway,turning_circle,tag
137369852.0,highway,turning_circle,tag
137369852.0,source,Yahoo,tag
137370541.0,highway,turning_circle,tag
137370541.0,source,Yahoo,tag
137371524.0,highway,turning_circle,tag
137371526.0,highway,turning_circle,tag
137371560.0,highway,turning_circle,tag
137371592.0,highway,turning_circle,tag
137371699.0,highway,turning_circle,tag
137371796.0,highway,turning_circle,tag
137371803.0,highway,turning_circle,tag
137372076.0,highway,turning_circle,tag
137372186.0,highway,turning_circle,tag
137372186.0,source,Bing,tag
137372403.0,highway,turning_circle,tag
137372885.0,highway,turning_circle,tag
137372905.0,highway,turning_circle,tag
137373385.0,highway,traffic_signals,tag
137373520.0,highway,turning_circle,tag
137373520.0,source,Yahoo,tag
137373621.0,highway,turning_circle,tag
137373636.0,highway,turning_circle,tag
137374627.0,highway,turning_circle,tag
137374627.0,source,Yahoo,tag
137375008.0,highway,turning_circle,tag
137375011.0,highway,turning_circle,tag
137375429.0,highway,turning_circle,tag
137376385.0,highway,turning_circle,tag
137376433.0,highway,turning_circle,tag
137376842.0,highway,turning_circle,tag
137377268.0,highway,turning_circle,tag
137377268.0,source,Yahoo,tag
137377694.0,highway,turning_circle,tag
137377992.0,highway,turning_circle,tag
137378004.0,highway,turning_circle,tag
137378784.0,highway,turning_circle,tag
137379313.0,highway,turning_circle,tag
137379365.0,highway,turning_circle,tag
137379417.0,highway,turning_circle,tag
137380679.0,highway,turning_circle,tag
137381866.0,highway,turning_circle,tag
